commodity_code,region_code,price_month,price_value,currency_code,unit,source_system,source_url,source_record_id
CEREALS,GLOBAL,1992-12-01,58.5,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1992-12_1338
CEREALS,GLOBAL,1993-01-01,59.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-01_1339
CEREALS,GLOBAL,1993-02-01,58.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-02_1340
CEREALS,GLOBAL,1993-03-01,57.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-03_1341
CEREALS,GLOBAL,1993-04-01,57.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-04_1342
CEREALS,GLOBAL,1993-05-01,55.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-05_1343
CEREALS,GLOBAL,1993-06-01,52.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-06_1344
CEREALS,GLOBAL,1993-07-01,55.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-07_1345
CEREALS,GLOBAL,1993-08-01,56.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-08_1346
CEREALS,GLOBAL,1993-09-01,58.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-09_1347
CEREALS,GLOBAL,1993-10-01,61.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-10_1348
CEREALS,GLOBAL,1993-11-01,66.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-11_1349
CEREALS,GLOBAL,1993-12-01,68.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1993-12_1350
CEREALS,GLOBAL,1994-01-01,68.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-01_1351
CEREALS,GLOBAL,1994-02-01,66.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-02_1352
CEREALS,GLOBAL,1994-03-01,64.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-03_1353
